year,undernourishment_pct,food_production_index,cereal_yield_kg_ha,arable_land_pct,undernourishment_pct_yoy_chg,food_production_index_yoy_chg,cereal_yield_kg_ha_yoy_chg
1961,0.0,12.89982174,0.0,0.0,0.0,0.0,0.0
1962,0.0,13.17449453,0.0,0.0,0.0,0.275,0.0
1963,0.0,13.78995566,0.0,9.642818327,0.0,0.615,0.0
1964,0.0,13.51039564,1576.946325,9.663356003,0.0,-0.28,0.0
1965,0.0,13.63573927,1625.014969,9.694099042,0.0,0.125,48.069
1966,0.0,13.85593341,1665.76421,9.711403225,0.0,0.22,40.749
1967,0.0,15.3337086,1748.665301,9.728634849,0.0,1.478,82.901
1968,0.0,14.60876324,1765.707736,9.839523314,0.0,-0.725,17.042
1969,0.0,15.60438417,1789.410039,9.904878918,0.0,0.996,23.702
1970,0.0,16.20256184,1816.388623,9.888668842,0.0,0.598,26.979
1971,0.0,16.63261467,1965.604341,9.851948945,0.0,0.43,149.216
1972,0.0,16.86898855,1953.469567,9.89913695,0.0,0.236,-12.135
1973,0.0,17.31555944,1985.437886,9.912208254,0.0,0.447,31.968
1974,0.0,18.55282196,1966.867747,9.923328365,0.0,1.237,-18.57
1975,0.0,19.02286725,2080.389637,9.925886328,0.0,0.47,113.522
1976,0.0,19.4696084,2088.677693,9.977805025,0.0,0.447,8.288
1977,0.0,20.49741095,2135.934672,10.02653381,0.0,1.028,47.257
1978,0.0,20.99107724,2296.366945,10.13018729,0.0,0.494,160.432
1979,0.0,20.86100133,2331.57551,10.18369345,0.0,-0.13,35.209
1980,0.0,21.76391611,2297.40845,10.20711401,0.0,0.903,-34.167
1981,0.0,23.89620541,2438.721357,10.23747691,0.0,2.132,141.313
1982,0.0,21.88316058,2534.288004,10.33211229,0.0,-2.013,95.567
1983,0.0,22.47350505,2443.624766,10.3796917,0.0,0.59,-90.663
1984,0.0,20.98794328,2691.791183,10.53129093,0.0,-1.486,248.166
1985,0.0,23.97315393,2695.359471,10.64403394,0.0,2.985,3.568
1986,0.0,23.69162221,2690.086521,10.65303167,0.0,-0.282,-5.273
1987,0.0,22.40054051,2677.487523,10.65581688,0.0,-1.291,-12.599
1988,0.0,25.17347106,2600.408102,10.6371257,0.0,2.773,-77.079
1989,0.0,22.80516757,2754.995666,10.65125343,0.0,-2.368,154.588
1990,0.0,22.61964616,2870.949132,10.65953276,0.0,-0.186,115.953
1991,0.0,25.8914494,2862.21747,10.68155713,0.0,3.272,-8.732
1992,0.0,28.73482854,2774.298622,10.61944226,0.0,2.843,-87.919
1993,0.0,39.40335035,2735.510707,10.61168756,0.0,10.669,-38.788
1994,0.0,44.30972533,2820.464266,10.58441881,0.0,4.906,84.954
1995,0.0,45.18435164,2753.157093,10.57285803,0.0,0.875,-67.307
1996,0.0,48.51221184,2935.856595,10.56129991,0.0,3.328,182.7
1997,0.0,49.47303704,2988.168759,10.58848065,0.0,0.961,52.312
1998,0.0,52.16631054,3058.635799,10.58412333,0.0,2.693,70.467
1999,0.0,53.16050531,3100.638237,10.59040525,0.0,0.994,42.002
2000,0.0,83.23075721,3067.536812,10.56103123,0.0,30.07,-33.101
2001,12.8,89.90631268,3127.884472,10.5578319,0.0,6.676,60.348
2002,12.9,91.68000289,3099.844847,10.5313784,0.1,1.774,-28.04
2003,12.8,98.59893156,3085.232413,10.55874261,-0.1,6.919,-14.612
2004,12.4,97.47574697,3372.547026,10.57925941,-0.4,-1.123,287.315
2005,11.9,100.273316,3265.284641,10.61354296,-0.5,2.798,-107.262
2006,11.0,101.2482411,3309.220944,10.62677023,-0.9,0.975,43.936
2007,10.1,100.5460204,3366.704084,10.53971248,-0.9,-0.702,57.483
2008,9.5,101.1341307,3534.91475,10.54767136,-0.6,0.588,168.211
2009,9.1,102.7813096,3554.14602,10.59687654,-0.4,1.647,19.231
2010,8.7,99.5218776,3552.349708,10.60873134,-0.4,-3.259,-1.796
2011,8.4,104.6296386,3652.769555,10.68557025,-0.3,5.108,100.42
2012,8.1,99.2802439,3615.688508,10.63223549,-0.3,-5.349,-37.081
2013,7.8,99.30962432,3826.145097,10.65061348,-0.3,0.029,210.457
2014,7.7,99.32282619,3897.898946,10.66277877,-0.1,0.013,71.754
2015,7.6,100.0,3927.425046,10.68848714,-0.1,0.677,29.526
2016,7.5,100.0,4001.05823,10.69738352,-0.1,0.0,73.633
2017,7.4,100.0,4083.258711,10.70761649,-0.1,0.0,82.2
2018,7.3,100.0,4028.455898,10.70507232,-0.1,0.0,-54.803
2019,7.8,100.0,4133.972807,10.67196856,0.5,0.0,105.517
2020,8.2,100.0,4097.918329,10.68572262,0.4,0.0,-36.054
2021,8.6,0.0,4160.96326,10.70518237,0.4,0.0,63.045
2022,8.6,0.0,4185.511936,10.69341474,0.0,0.0,24.549
2023,8.5,0.0,4243.531108,0.0,-0.1,0.0,58.019
